junction,led,from_rim_m,turns_from_rim,r_scan_mm,theta_deg,clear_of_rib_mm,clear_of_clip_mm
1,64,0.91,0.21,683.0,312.9,45.2,31.8
2,239,3.41,0.81,665.5,95.6,65.9,52.5
3,414,5.91,1.41,658.0,239.9,53.8,40.4
4,589,8.41,2.03,644.8,16.6,105.9,92.5
5,764,10.91,2.67,633.1,147.8,9.9,-3.5
6,939,13.41,3.3,625.8,280.1,94.6,81.2
7,1114,15.91,3.96,609.6,43.8,95.4,82.0
8,1289,18.41,4.62,594.3,163.4,94.1,80.7
9,1464,20.91,5.29,591.0,282.2,110.7,97.3
10,1639,23.41,5.99,572.6,33.0,15.9,2.5
11,1814,25.91,6.7,561.4,136.8,92.3,78.9
12,1989,28.41,7.41,549.5,239.4,46.7,33.3
13,2164,30.91,8.15,538.1,333.4,65.2,51.8
14,2339,33.41,8.91,522.9,60.2,43.6,30.2
15,2514,35.91,9.69,509.7,138.9,84.9,71.5
16,2689,38.41,10.48,492.3,213.8,54.8,41.4
17,2864,40.91,11.3,483.3,280.3,72.9,59.5
18,3039,43.41,12.15,466.9,336.1,34.3,20.9
19,3214,45.91,13.02,450.2,22.4,44.4,31.0
20,3389,48.41,13.92,436.3,58.9,23.3,9.9
21,3564,50.91,14.85,424.1,83.2,25.3,11.9
22,3739,53.41,15.82,408.4,93.2,50.2,36.8
23,3914,55.91,16.83,391.3,90.9,66.6,53.2
24,4089,58.41,17.88,372.0,71.9,26.7,13.3
25,4264,60.91,18.99,348.0,32.1,-2.0,-15.4
26,4439,63.41,20.17,327.3,328.2,45.0,31.6
27,4614,65.91,21.42,309.0,236.8,36.2,22.8
28,4789,68.41,22.76,293.2,114.5,46.4,33.0
29,4964,70.91,24.23,260.1,306.5,38.0,24.6
30,5139,73.41,25.84,239.2,86.4,20.9,7.5
31,5314,75.91,27.67,211.2,145.4,3.4,-10.0
