id,kind,strip,strand_id,ip,port,from_centre_tip_m,deg,r_mm,nearest_rib,tooth_helix,tooth_from_rim,between_ribs,clearance_mm,verdict
1,feed,Y,28,192.168.0.104,1,141.483,139.96,676.7,2,58,2,02,156.7,clear
2,feed,28,27,192.168.0.102,3,140.0,13.81,673.3,12,58,1,13/12,79.5,clear
3,splice,28,27,192.168.0.102,3,137.5,163.69,667.4,4,57,2,04/03,103.3,clear
4,feed,27,26,192.168.0.102,6,135.0,308.69,661.5,10,56,3,10/09,95.4,clear
5,splice,27,26,192.168.0.102,6,132.5,90.79,655.4,1,56,3,01/15,113.1,clear
6,feed,26,25,192.168.0.103,3,130.0,234.55,649.5,7,55,4,07/06,114.7,clear
7,splice,26,25,192.168.0.103,3,127.5,11.44,643.3,12,55,4,13/12,44.5,clear
8,feed,25,24,192.168.0.101,3,125.0,149.58,637.1,3,54,5,03/02,-11.4,clash
9,splice,25,24,192.168.0.101,3,122.5,285.65,630.9,9,53,6,09/08,80.6,clear
10,feed,24,23,192.168.0.101,4,120.0,55.87,624.6,14,53,7,15/14,3.1,marginal
11,splice,24,23,192.168.0.101,4,117.5,188.75,618.3,5,52,7,05/04,84.9,clear
12,feed,23,22,192.168.0.102,5,115.0,315.81,611.8,10,51,8,10/09,8.1,marginal
13,splice,23,22,192.168.0.102,5,112.5,79.92,605.3,15,51,8,01/15,3.0,marginal
14,feed,22,21,192.168.0.103,5,110.0,205.15,598.8,5,50,9,06/05,56.0,clear
15,splice,22,21,192.168.0.103,5,107.5,324.61,592.1,10,49,10,11/10,51.3,clear
16,feed,21,20,192.168.0.101,8,105.0,81.2,585.4,15,49,10,01/15,13.8,clear
17,splice,21,20,192.168.0.101,8,102.5,198.17,578.7,5,48,11,06/05,-12.2,clash
18,feed,20,19,192.168.0.102,4,100.0,309.38,571.8,10,47,12,10/09,74.3,clear
19,splice,20,19,192.168.0.102,4,97.5,56.72,564.8,14,47,13,15/14,9.9,clear
20,feed,19,18,192.168.0.104,4,95.0,164.04,557.8,4,46,13,04/03,80.0,clear
21,splice,19,18,192.168.0.104,4,92.5,267.44,550.7,8,45,14,08/07,10.4,clear
22,feed,18,17,192.168.0.102,8,90.0,4.11,543.4,12,45,14,12/11,0.5,marginal
23,splice,18,17,192.168.0.102,8,87.5,99.74,536.1,1,44,15,01/15,6.2,marginal
24,feed,17,16,192.168.0.104,6,85.0,192.32,528.7,5,43,16,05/04,35.6,clear
25,splice,17,16,192.168.0.104,6,82.5,280.36,521.1,8,42,17,09/08,76.3,clear
26,feed,16,15,192.168.0.102,7,80.0,2.07,513.4,12,42,17,12/11,18.1,clear
27,splice,16,15,192.168.0.102,7,77.5,81.48,505.6,15,41,18,01/15,13.7,clear
28,feed,15,14,192.168.0.103,7,75.0,157.32,497.8,3,40,19,04/03,46.1,clear
29,splice,15,14,192.168.0.103,7,72.5,228.68,489.8,6,39,20,07/06,37.3,clear
30,feed,14,13,192.168.0.102,2,70.0,293.28,481.6,9,38,21,09/08,-10.6,clash
31,splice,14,13,192.168.0.102,2,67.5,351.71,473.2,11,37,22,12/11,62.5,clear
32,feed,13,12,192.168.0.101,2,65.0,45.16,464.8,14,37,23,14/13,53.7,clear
33,splice,13,12,192.168.0.101,2,62.5,94.63,456.2,1,36,23,01/15,44.0,clear
34,feed,12,11,192.168.0.101,7,60.0,138.01,447.4,2,35,25,03/02,76.0,clear
35,splice,12,11,192.168.0.101,7,57.5,175.06,438.4,4,34,25,05/04,-7.0,marginal
36,feed,11,10,192.168.0.103,2,55.0,204.93,429.3,5,33,26,06/05,33.9,clear
37,splice,11,10,192.168.0.103,2,52.5,228.01,420.0,6,32,27,07/06,25.8,clear
38,feed,10,9,192.168.0.104,8,50.0,243.1,410.4,7,31,28,07/06,5.6,marginal
39,splice,10,9,192.168.0.104,8,47.5,250.33,400.6,7,30,29,08/07,10.8,clear
40,feed,9,8,192.168.0.103,8,45.0,247.4,390.6,7,29,30,08/07,-10.5,clash
41,splice,9,8,192.168.0.103,8,42.5,233.56,380.2,7,28,31,07/06,61.1,clear
42,feed,8,7,192.168.0.103,4,40.0,212.83,369.7,6,27,32,06/05,51.9,clear
43,splice,8,7,192.168.0.103,4,37.5,179.12,358.8,4,26,33,05/04,12.1,clear
44,feed,7,6,192.168.0.101,1,35.0,131.85,347.5,2,25,35,03/02,17.5,clear
45,splice,7,6,192.168.0.101,1,32.5,71.22,335.9,15,24,35,15/14,24.5,clear
46,feed,6,5,192.168.0.102,1,30.0,357.16,323.8,12,23,36,12/11,34.6,clear
47,splice,6,5,192.168.0.102,1,27.5,267.96,311.4,8,21,38,08/07,-3.5,marginal
48,feed,5,4,192.168.0.104,7,25.0,157.72,298.4,3,20,39,04/03,23.7,clear
49,splice,5,4,192.168.0.104,7,22.5,25.75,284.8,13,19,40,13/12,7.2,clear
50,feed,4,3,192.168.0.103,6,20.0,230.1,270.5,6,17,42,07/06,22.2,clear
51,splice,4,3,192.168.0.103,6,17.5,44.52,255.4,14,16,44,14/13,28.0,clear
52,feed,3,2,192.168.0.104,2,15.0,185.93,239.3,4,14,45,05/04,33.1,clear
53,splice,3,2,192.168.0.104,2,12.5,285.91,222.2,9,12,47,09/08,16.6,clear
54,feed,2,1,192.168.0.101,6,10.0,332.91,203.5,11,10,49,11/10,16.8,clear
55,splice,2,1,192.168.0.101,6,7.5,314.01,183.1,10,8,51,10/09,-1.7,marginal
56,feed,1,0,192.168.0.103,1,5.0,199.84,160.0,5,6,53,06/05,-10.7,clash
57,splice,1,0,192.168.0.103,1,2.5,305.23,133.0,9,3,56,10/09,7.6,clear
58,tip,1,0,192.168.0.103,1,0.0,166.6,99.2,4,0,59,04,84.9,clear
