position_from_centre,label_on_cable,controller,ip,lid_label_slot,artnet_port,universes,leds,data_in_at,ends_at,turns
1,1,3,192.168.0.103,2,1,0+1,600,05#6,04 peg,6.085
2,2,1,192.168.0.101,3,6,10+11,600,11#10,05#6,4.357
3,3,4,192.168.0.104,4,2,2+3,600,04#14,11#10,3.581
4,4,3,192.168.0.103,3,6,10+11,600,06#17,04#14,3.112
5,5,4,192.168.0.104,5,7,12+13,600,03#20,06#17,2.79
6,6,2,192.168.0.102,2,1,0+1,600,12#23,03#20,2.547
7,7,1,192.168.0.101,2,1,0+1,600,02#25,12#23,2.367
8,8,3,192.168.0.103,1,4,6+7,600,06#27,02#25,2.219
9,9,3,192.168.0.103,6,8,14+15,600,07#29,06#27,2.088
10,10,4,192.168.0.104,6,8,14+15,600,07#31,07#29,1.98
11,11,3,192.168.0.103,4,2,2+3,600,05#33,07#31,1.888
12,12,1,192.168.0.101,5,7,12+13,600,02#35,05#33,1.809
13,13,1,192.168.0.101,4,2,2+3,600,14#37,02#35,1.737
14,14,2,192.168.0.102,4,2,2+3,600,09#38,14#37,1.684
15,15,3,192.168.0.103,5,7,12+13,600,03#40,09#38,1.617
16,16,2,192.168.0.102,5,7,12+13,600,12#42,03#40,1.564
17,18,4,192.168.0.104,3,6,10+11,600,05#43,12#42,1.524
18,17,2,192.168.0.102,6,8,14+15,600,12#45,05#43,1.473
19,19,4,192.168.0.104,1,4,6+7,600,04#46,12#45,1.44
20,20,2,192.168.0.102,1,4,6+7,600,10#47,04#46,1.4
21,21,1,192.168.0.101,6,8,14+15,600,15#49,10#47,1.362
22,A,3,192.168.0.103,7,5,8+9,600,05#50,15#49,1.34
23,22,2,192.168.0.102,7,5,8+9,600,10#51,05#50,1.304
24,23,1,192.168.0.101,1,4,6+7,600,14#53,10#51,1.274
25,24,1,192.168.0.101,8,3,4+5,600,03#54,14#53,1.256
26,25,3,192.168.0.103,8,3,4+5,600,07#55,03#54,1.232
27,26,2,192.168.0.102,3,6,10+11,600,10#56,07#55,1.203
28,27,2,192.168.0.102,8,3,4+5,600,12#58,10#56,1.178
29,Y,4,192.168.0.104,2,1,0+1,178,02#58,12#58,0.351
30,Z,4,192.168.0.104,7,5,8+9,300,142° (ribs 02/03),hangs free,0.146
,empty,1,192.168.0.101,7,5,8+9,0,,,
,empty,4,192.168.0.104,8,3,4+5,0,,,
