label,position_from_centre,lid_slot,order_outer_to_inner,strand_id,ip,port,universes,dmx,leds,start_rib,start_tooth,start_deg,end_rib,end_tooth,end_deg,turns,rib_crossings,ribs_passed
Y,Y,2,0,28,192.168.0.104,1,0,1-178,178,2,58,140.4,13,58,14.2,0.351,5,02#58 01#58 15#58 14#58 13#58
27,28,8,1,27,192.168.0.102,3,4-5,1-88,600,12,58,13.5,10,56,309.3,1.178,18,12#58 11#57 10#57 09#57 08#57 07#57 06#57 05#57 04#57 03#57 02#57 01#57 15#57 14#57 13#57 12#57 11#56 10#56
26,27,3,2,26,192.168.0.102,6,10-11,1-88,600,9,56,308.1,7,55,235.2,1.203,18,09#56 08#56 07#56 06#56 05#56 04#56 03#56 02#56 01#56 15#56 14#56 13#56 12#56 11#55 10#55 09#55 08#55 07#55
25,26,8,3,25,192.168.0.103,3,4-5,1-88,600,6,55,233.9,3,54,150.3,1.232,19,06#55 05#55 04#55 03#55 02#55 01#55 15#55 14#55 13#55 12#55 11#54 10#54 09#54 08#54 07#54 06#54 05#54 04#54 03#54
24,25,8,4,24,192.168.0.101,3,4-5,1-88,600,2,54,148.8,15,53,56.5,1.256,18,02#54 01#54 15#54 14#54 13#54 12#54 11#53 10#53 09#53 08#53 07#53 06#53 05#53 04#53 03#53 02#53 01#53 15#53
23,24,1,5,23,192.168.0.101,4,6-7,1-88,600,14,53,55.2,10,51,316.5,1.274,20,14#53 13#53 12#53 11#52 10#52 09#52 08#52 07#52 06#52 05#52 04#52 03#52 02#52 01#52 15#52 14#52 13#52 12#52 11#51 10#51
22,23,7,6,22,192.168.0.102,5,8-9,1-88,600,9,51,315.1,6,50,205.8,1.304,19,09#51 08#51 07#51 06#51 05#51 04#51 03#51 02#51 01#51 15#51 14#51 13#51 12#51 11#50 10#50 09#50 08#50 07#50 06#50
A,22,7,7,21,192.168.0.103,5,8-9,1-88,600,5,50,204.5,1,49,82.0,1.34,20,05#50 04#50 03#50 02#50 01#50 15#50 14#50 13#50 12#50 11#49 10#49 09#49 08#49 07#49 06#49 05#49 04#49 03#49 02#49 01#49
21,21,6,8,20,192.168.0.101,8,14-15,1-88,600,15,49,80.4,10,47,310.1,1.362,21,15#49 14#49 13#49 12#49 11#48 10#48 09#48 08#48 07#48 06#48 05#48 04#48 03#48 02#48 01#48 15#48 14#48 13#48 12#48 11#47 10#47
20,20,1,9,19,192.168.0.102,4,6-7,1-88,600,9,47,308.7,4,46,164.8,1.4,21,09#47 08#47 07#47 06#47 05#47 04#47 03#47 02#47 01#47 15#47 14#47 13#47 12#47 11#46 10#46 09#46 08#46 07#46 06#46 05#46 04#46
19,19,1,10,18,192.168.0.104,4,6-7,1-88,600,3,46,163.3,12,45,4.8,1.44,22,03#46 02#46 01#46 15#46 14#46 13#46 12#46 11#45 10#45 09#45 08#45 07#45 06#45 05#45 04#45 03#45 02#45 01#45 15#45 14#45 13#45 12#45
17,18,6,11,17,192.168.0.102,8,14-15,1-88,600,11,44,3.5,5,43,193.1,1.473,22,11#44 10#44 09#44 08#44 07#44 06#44 05#44 04#44 03#44 02#44 01#44 15#44 14#44 13#44 12#44 11#43 10#43 09#43 08#43 07#43 06#43 05#43
18,17,3,12,16,192.168.0.104,6,10-11,1-88,600,4,43,191.5,12,42,2.9,1.524,23,04#43 03#43 02#43 01#43 15#43 14#43 13#43 12#43 11#42 10#42 09#42 08#42 07#42 06#42 05#42 04#42 03#42 02#42 01#42 15#42 14#42 13#42 12#42
16,16,5,13,15,192.168.0.102,7,12-13,1-88,600,11,41,1.3,4,40,158.1,1.564,23,11#41 10#41 09#41 08#41 07#41 06#41 05#41 04#41 03#41 02#41 01#41 15#41 14#41 13#41 12#41 11#40 10#40 09#40 08#40 07#40 06#40 05#40 04#40
15,15,5,14,14,192.168.0.103,7,12-13,1-88,600,3,40,156.5,9,38,294.2,1.617,25,03#40 02#40 01#40 15#40 14#40 13#40 12#40 11#39 10#39 09#39 08#39 07#39 06#39 05#39 04#39 03#39 02#39 01#39 15#39 14#39 13#39 12#39 11#38 10#38 09#38
14,14,4,15,13,192.168.0.102,2,2-3,1-88,600,8,38,292.3,14,37,46.1,1.684,25,08#38 07#38 06#38 05#38 04#38 03#38 02#38 01#38 15#38 14#38 13#38 12#38 11#37 10#37 09#37 08#37 07#37 06#37 05#37 04#37 03#37 02#37 01#37 15#37 14#37
13,13,4,16,12,192.168.0.101,2,2-3,1-88,600,13,37,44.2,3,35,139.0,1.737,26,13#37 12#37 11#36 10#36 09#36 08#36 07#36 06#36 05#36 04#36 03#36 02#36 01#36 15#36 14#36 13#36 12#36 11#35 10#35 09#35 08#35 07#35 06#35 05#35 04#35 03#35
12,12,5,17,11,192.168.0.101,7,12-13,1-88,600,2,35,137.0,6,33,205.9,1.809,27,02#35 01#35 15#35 14#35 13#35 12#35 11#34 10#34 09#34 08#34 07#34 06#34 05#34 04#34 03#34 02#34 01#34 15#34 14#34 13#34 12#34 11#33 10#33 09#33 08#33 07#33 06#33
11,11,4,18,10,192.168.0.103,2,2-3,1-88,600,5,33,204.0,7,31,244.1,1.888,29,05#33 04#33 03#33 02#33 01#33 15#33 14#33 13#33 12#33 11#32 10#32 09#32 08#32 07#32 06#32 05#32 04#32 03#32 02#32 01#32 15#32 14#32 13#32 12#32 11#31 10#31 09#31 08#31 07#31
10,10,6,19,9,192.168.0.104,8,14-15,1-88,600,6,31,242.1,7,29,249.2,1.98,30,06#31 05#31 04#31 03#31 02#31 01#31 15#31 14#31 13#31 12#31 11#30 10#30 09#30 08#30 07#30 06#30 05#30 04#30 03#30 02#30 01#30 15#30 14#30 13#30 12#30 11#29 10#29 09#29 08#29 07#29
9,9,6,20,8,192.168.0.103,8,14-15,1-88,600,6,29,245.6,6,27,213.9,2.088,31,06#29 05#29 04#29 03#29 02#29 01#29 15#29 14#29 13#29 12#29 11#28 10#28 09#28 08#28 07#28 06#28 05#28 04#28 03#28 02#28 01#28 15#28 14#28 13#28 12#28 11#27 10#27 09#27 08#27 07#27 06#27
8,8,1,21,7,192.168.0.103,4,6-7,1-88,600,5,27,211.7,3,25,133.1,2.219,33,05#27 04#27 03#27 02#27 01#27 15#27 14#27 13#27 12#27 11#26 10#26 09#26 08#26 07#26 06#26 05#26 04#26 03#26 02#26 01#26 15#26 14#26 13#26 12#26 11#25 10#25 09#25 08#25 07#25 06#25 05#25 04#25 03#25
7,7,2,22,6,192.168.0.101,1,0-1,1-88,600,2,25,130.6,12,23,358.4,2.367,36,02#25 01#25 15#25 14#25 13#25 12#25 11#24 10#24 09#24 08#24 07#24 06#24 05#24 04#24 03#24 02#24 01#24 15#24 14#24 13#24 12#24 11#23 10#23 09#23 08#23 07#23 06#23 05#23 04#23 03#23 02#23 01#23 15#23 14#23 13#23 12#23
6,6,2,23,5,192.168.0.102,1,0-1,1-88,600,11,22,356.0,4,20,159.0,2.547,38,11#22 10#22 09#22 08#22 07#22 06#22 05#22 04#22 03#22 02#22 01#22 15#22 14#22 13#22 12#22 11#21 10#21 09#21 08#21 07#21 06#21 05#21 04#21 03#21 02#21 01#21 15#21 14#21 13#21 12#21 11#20 10#20 09#20 08#20 07#20 06#20 05#20 04#20
5,5,5,24,4,192.168.0.104,7,12-13,1-88,600,3,20,156.4,7,17,231.9,2.79,42,03#20 02#20 01#20 15#20 14#20 13#20 12#20 11#19 10#19 09#19 08#19 07#19 06#19 05#19 04#19 03#19 02#19 01#19 15#19 14#19 13#19 12#19 11#18 10#18 09#18 08#18 07#18 06#18 05#18 04#18 03#18 02#18 01#18 15#18 14#18 13#18 12#18 11#17 10#17 09#17 08#17 07#17
4,4,3,25,3,192.168.0.103,6,10-11,1-88,600,6,17,228.3,5,14,187.8,3.112,47,06#17 05#17 04#17 03#17 02#17 01#17 15#17 14#17 13#17 12#17 11#16 10#16 09#16 08#16 07#16 06#16 05#16 04#16 03#16 02#16 01#16 15#16 14#16 13#16 12#16 11#15 10#15 09#15 08#15 07#15 06#15 05#15 04#15 03#15 02#15 01#15 15#15 14#15 13#15 12#15 11#14 10#14 09#14 08#14 07#14 06#14 05#14
3,3,4,26,2,192.168.0.104,2,2-3,1-88,600,4,14,184.0,11,10,335.0,3.581,54,04#14 03#14 02#14 01#14 15#14 14#14 13#14 12#14 11#13 10#13 09#13 08#13 07#13 06#13 05#13 04#13 03#13 02#13 01#13 15#13 14#13 13#13 12#13 11#12 10#12 09#12 08#12 07#12 06#12 05#12 04#12 03#12 02#12 01#12 15#12 14#12 13#12 12#12 11#11 10#11 09#11 08#11 07#11 06#11 05#11 04#11 03#11 02#11 01#11 15#11 14#11 13#11 12#11 11#10
2,2,3,27,1,192.168.0.101,6,10-11,1-88,600,10,10,330.9,5,6,202.4,4.357,66,10#10 09#10 08#10 07#10 06#10 05#10 04#10 03#10 02#10 01#10 15#10 14#10 13#10 12#10 11#9 10#9 09#9 08#9 07#9 06#9 05#9 04#9 03#9 02#9 01#9 15#9 14#9 13#9 12#9 11#8 10#8 09#8 08#8 07#8 06#8 05#8 04#8 03#8 02#8 01#8 15#8 14#8 13#8 12#8 11#7 10#7 09#7 08#7 07#7 06#7 05#7 04#7 03#7 02#7 01#7 15#7 14#7 13#7 12#7 11#6 10#6 09#6 08#6 07#6 06#6 05#6
1,1,2,28,0,192.168.0.103,1,0-1,1-88,600,4,6,197.3,4,0,166.6,6.085,91,04#6 03#6 02#6 01#6 15#6 14#6 13#6 12#6 11#5 10#5 09#5 08#5 07#5 06#5 05#5 04#5 03#5 02#5 01#5 15#5 14#5 13#5 12#5 11#4 10#4 09#4 08#4 07#4 06#4 05#4 04#4 03#4 02#4 01#4 15#4 14#4 13#4 12#4 11#3 10#3 09#3 08#3 07#3 06#3 05#3 04#3 03#3 02#3 01#3 15#3 14#3 13#3 12#3 11#2 10#2 09#2 08#2 07#2 06#2 05#2 04#2 03#2 02#2 01#2 15#2 14#2 13#2 12#2 11#1 10#1 09#1 08#1 07#1 06#1 05#1 04#1 03#1 02#1 01#1 15#1 14#1 13#1 12#1 11#0 10#0 09#0 08#0 07#0 06#0 05#0 04#0
